,country,description,points,price,province,taster_name,taster_twitter_handle,title,variety,winery
959,France,"Partially from Grand Cru vineyards in the Montagne de Reims and the Côte des Blancs, this wine is soft, ripe and balanced, with a ripe dosage that contrasts with citrus acidity. It has a fine, cool texture.",87,40.0,Champagne,Roger Voss,@vossroger,Jacquart NV Brut Mosaïque  (Champagne),Champagne Blend,Jacquart
2360,France,"A smooth and rounded wine, its ripe plum and blueberry flavors well integrated into the soft tannins and sweet acidity. Drinkable now, but worth waiting for two more years.",88,35.0,Burgundy,Roger Voss,@vossroger,Domaines Devillard 2011 Château de Chamirey  (Mercurey),Pinot Noir,Domaines Devillard
2408,US,"This is weighty, creamy and medium to full in body. It has plenty of lime and pear flavors, plus slight brown sugar and vanilla notes.",85,14.0,California,Virginie Boone,@vboone,Souverain 2010 Chardonnay (North Coast),Chardonnay,Souverain
2410,Chile,"Lightly herbal strawberry and raspberry aromas are authentic and fresh. On the palate, this is light and juicy, with snappy, lean flavors of red fruit and dry spice. The finish is dry and oaky.",85,13.0,Maipo Valley,Michael Schachner,@wineschach,Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley),Pinot Noir,Tres Palacios
2413,France,"Fruity and lightly herbaceous, this has fine textured acidity along with a pink grapefruit flavor. The wine is bright and easy, and it will be ready to drink in a few months.",85,15.0,Bordeaux,Roger Voss,@vossroger,Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc),Bordeaux-style White Blend,Château de Sours
2694,Chile,"Smooth smelling, with pure and fresh berry and plum aromas. Very young and a bit tangy on the palate, with cherry and berry flavors and an oaky, soft finish that goes sweet then sour, and lasts for a long time. In terms of structure, it's balanced, mildly tannic, yet meant for drinking now.",87,12.0,Maipo Valley,Michael Schachner,@wineschach,Undurraga 2001 Reserva Merlot (Maipo Valley),Merlot,Undurraga
3431,France,"The wine is still young with its crisp red fruits and tense tannins. It is a structured wine, firm with a dry core and still developing its fruitiness. It will need to age a while yet, so drink from 2018.",88,25.0,Beaujolais,Roger Voss,@vossroger,Yohan Lardy 2015 Les Michelons  (Moulin-à-Vent),Gamay,Yohan Lardy
3432,US,"The aromas are light, with notes of freshly cut apple and spice. It drinks dry with elegantly styled fruit flavors that linger on the finish. It shows a very pretty styling.",88,27.0,Washington,Sean P. Sullivan,@wawinereport,Analemma 2014 Atavus Vineyard Gewürztraminer (Columbia Gorge (WA)),Gewürztraminer,Analemma
3433,US,"Light strawberry fruit with tart acidity carries a wine of modest proportions. It's drinking well, and might be a good choice for a simple salmon preparation, as it would not overwhelm the fish. The finishing tannins have a definite herbal flavor.",88,50.0,Oregon,Paul Gregutt,@paulgwine ,Argyle 2014 Nuthouse Pinot Noir (Eola-Amity Hills),Pinot Noir,Argyle
4093,Portugal,"Both mineral and herbaceous, this is a crisp, taut and textured wine. It shows a tangy character, lemon zest and bright acidity. It's still too young, so drink from the end of 2015.",86,11.0,Douro,Roger Voss,@vossroger,Quinta da Rede 2013 Rede Branco White (Douro),Portuguese White,Quinta da Rede
4094,US,"Similar to the winery's regular Pinot Noir, this is moving quickly along the aging curve. Hints of strawberry fruit are cloaked in barrel flavors of mocha and cracker. Drink soon.",86,39.0,Oregon,Paul Gregutt,@paulgwine ,Reustle 2013 Winemaker's Reserve Pinot Noir (Umpqua Valley),Pinot Noir,Reustle
4095,US,"Red plum compote is at the center of this wine, a 100% varietal, with hearty bursts of herb and green pepper, as well as savory spice. From the cooler Coombsville appellation, it is soft, round and on the paler, thinner side of Napa's ripeness spectrum, more restrained.",86,35.0,California,Virginie Boone,@vboone,Silverado 2011 Estate Grown Mt. George Vineyard Merlot (Napa Valley),Merlot,Silverado
4096,US,"The inaugural vintage of this wine, named for a water goddess, this offers herb, grass, lemon and peach around a medium body influenced by some oak. As it develops in the glass, tropical fruit unfurls in a refreshing spritz before settling down to a tart finish.",86,26.0,California,Virginie Boone,@vboone,Stag's Leap Wine Cellars 2013 Aveta Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Stag's Leap Wine Cellars
4287,Spain,"Scratchy aromas of red fruits register as raw, with a note of animal hide. This feels racy and wild, but lively. Briny, rugged flavors of raspberry and plum finish tart, with a pickled note that won't let go.",85,15.0,Levante,Michael Schachner,@wineschach,La Purísima 2013 Alphabet Wines Monastrell (Yecla),Monastrell,La Purísima
4399,US,"Made predominantly from Pinot Noir, this is an easygoing, approachable sparkling wine, offering dry creamy layers of green apple, pear and strawberry. It also has a rich inviting mousse embedded with vanilla and marzipan.",88,22.0,California,Virginie Boone,@vboone,Gloria Ferrer NV Sonoma Brut Sparkling (Sonoma County),Sparkling Blend,Gloria Ferrer
5055,Portugal,"This wine is a fine exposition of the structure and density of a serious Douro wine. A field blend, it is packed with dark berry fruits and sweet tannins, with a strong mineral element that reflects the tough schist of the vineyards. It's drinkable now, but the wine will be better in 2016.",91,47.0,Douro,Roger Voss,@vossroger,Quinta do Sagrado 2008 VT '08 Red (Douro),Portuguese Red,Quinta do Sagrado
5087,France,"A cool, very Sauvignon wine, with strong herbaceous and citrus flavors. It's crisp, showing a bright, tight, slightly mineral texture.",86,15.0,Bordeaux,Roger Voss,@vossroger,Pezat 2012  Bordeaux Blanc,Sauvignon Blanc,Pezat
5091,US,"Though this is pure Cabernet from an excellent Walla Walla vineyard, the flavors seem rather harsh and quite astringent. The dark fruit is cloaked in bitter, chalky tannins that require some rich food to cut through.",86,32.0,Washington,Paul Gregutt,@paulgwine ,SuLei 2010 Les Collines Vineyard Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,SuLei
5092,Chile,"On the nose, this Cab delivers a mix of vinegar, rubber and jumpy berry aromas. The palate is smooth but bland and soft, while flavors of licorice, prune and herbal notes finish easy.",86,18.0,Cachapoal Valley,Michael Schachner,@wineschach,Valle Secreto 2010 First Edition Cabernet Sauvignon (Cachapoal Valley),Cabernet Sauvignon,Valle Secreto
5094,Chile,"Scratchy berry aromas come with a hint of sweet-smelling plastic, but overall this bargain-priced Cab is good and welcoming. The palate has a pure, medium-bodied feel, while flavors of baked berry, cassis and chocolate finish with a mocha taste and mild heat.",86,10.0,Maipo Valley,Michael Schachner,@wineschach,Mancura 2011 Guardián Reserva Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Mancura
5096,US,"This Bordeaux-style blend remains a fair value, showing some sweet barrel spices along with opening fruit flavors of red and black berry. It thins out in the middle and finishes with a simple, fruity flourish.",86,15.0,Washington,Paul Gregutt,@paulgwine ,O•S Winery 2009 Red (Columbia Valley (WA)),Bordeaux-style Red Blend,O•S Winery
5693,France,"Solid and powerful, it has a great mix of very ripe fruit with dense tannins. Blackberry fruits, laced with licorice and dark chocolate, contrast with a juicy, lightly herbal element. This mainly Merlot wine is destined for a fine future. Drink from 2017.",91,29.0,Bordeaux,Roger Voss,@vossroger,Château de Roquebrune 2010 Cuvée Reine  (Lalande de Pomerol),Bordeaux-style Red Blend,Château de Roquebrune
5699,US,"Half was whole-cluster fermented, yielding dense scents and flavors with black olive, herb and a touch of mocha. Cranberry, raspberry and cherry fruit flavors are smooth and detailed, and the tannins firm and polished.",91,29.0,Washington,Paul Gregutt,@paulgwine ,Amavi 2011 Syrah (Walla Walla Valley (WA)),Syrah,Amavi
5704,Italy,"From one of the best vintages in the last 15 years, this classic Barolo needs to be opened a couple of hours ahead of time to breathe. It's a bit shy on aromas but the palate delivers dried cherry, fig, tobacco, white pepper and black tea flavors. Youthful acidity accompanies silky tannins in this wine that is just starting to develop complexity. Drink through 2024.",91,50.0,Piedmont,Kerin O’Keefe,@kerinokeefe,Villadoria 2004 Riserva  (Barolo),Nebbiolo,Villadoria
6849,France,"A very structured, firm wine with excellent acidity and dark, dry tannins. The alcohol does show through, but the wine is firm and very dense, a big success from this Lurton family owned property.",91,30.0,Bordeaux,Roger Voss,@vossroger,Château Bouscaut 2010  Pessac-Léognan,Bordeaux-style Red Blend,Château Bouscaut
7107,France,"Mumm's nonvintage cuvée is a soft Champagne, although now drier than in the past with attractive apple and pear flavors that are cut by citrus. It is lightly textured, hinting at almonds and with perfumed acidity at the end. This bottling is ready to drink.",87,40.0,Champagne,Roger Voss,@vossroger,G. H. Mumm NV Cordon Rouge Brut  (Champagne),Champagne Blend,G. H. Mumm
7499,Argentina,"Aromas of sweet melon and honey suggest an innocuous quality that's confirmed on the palate, where basic apple and pear flavors come across a bit sweet. Finishes with some scour and a little harshness.",83,12.0,Other,Michael Schachner,@wineschach,Michel Torino 2006 Coleccion Chardonnay (Calchaquí Valley),Chardonnay,Michel Torino
7567,Romania,"An intriguing nose of tobacco, mint, cherry and spice leads this earthy red. Flavors of spice, tobacco, red berry and tea are supported by ageable tannins and good complexity.",85,12.0,Dealu Mare,Susan Kostrzewa,@suskostrzewa,Byzantium 2005 Rosso di Valachia Red (Dealu Mare),Red Blend,Byzantium
7573,France,"This totally fresh wine has benefited from the quality of whites in 2007 Bordeaux. It is lemony with pink grapefruit flavors giving an intense lift. There is some herbaceousness, with green herbs and juicy fruits. To drink now.",85,10.0,Bordeaux,Roger Voss,@vossroger,Yvon Mau 2007 Premius Bordeaux Sauvignon  (Bordeaux Blanc),Sauvignon Blanc,Yvon Mau
7579,France,"A heavy dose of Sauvignon Blanc brings herbaceous, grassy, white currants and gooseberry flavors. It's young, and needs more time to coalesce. It is certainly fresh, fruity, right up front.",85,10.0,Bordeaux,Roger Voss,@vossroger,Château Lamothe-Vincent 2008 Sauvignon  (Bordeaux Blanc),Sauvignon Blanc,Château Lamothe-Vincent
7614,France,"A very shy nose leads onto a fresh palate where frothy bubbles reveal a hint of tart red-currant fruit and fresh citrus. The body is very light and dry, but has a zesty, mouthwatering finish.",87,32.0,Alsace,Anne Krebiehl MW,@AnneInVino,Domaine François Schmitt NV Rosé Sparkling (Crémant d'Alsace),Sparkling Blend,Domaine François Schmitt
8467,Chile,"Crisp green aromas suggest lime and then passion fruit. It's lively and spritzy in the mouth, with high acidity yielding green flavors that transition to pithy and heavy. Lemon-lime mixed with celery notes come up on the finish.",88,20.0,San Antonio,Michael Schachner,@wineschach,Matetic 2010 EQ Sauvignon Blanc (San Antonio),Sauvignon Blanc,Matetic
8469,Chile,"Toasty, minty and sweet smelling. The palate is dark, full and choppy feeling, with cola, coconut, mint, blackberry and cassis flavors. There's good power and depth to this Malbec; a bit rough and herbal at the finish line.",88,20.0,Lontué Valley,Michael Schachner,@wineschach,Odfjell 2009 Orzada Malbec (Lontué Valley),Malbec,Odfjell
8471,Germany,"This medium-bodied Riesling shows some already-evolving notes of honey, truffle and petrol wrapped around its core of apple and citrus. Seems a little on the sweeter side of the trocken spectrum.",88,67.0,Nahe,Joe Czerwinski,@JoeCz,Prinz Salm 2009 Wallhausen Johannisberg GG Trocken Riesling (Nahe),Riesling,Prinz Salm
10147,US,"Anchored in fig, plum and berry fruit, this is a substantial effort for both the vintage and the price. It will show best with hearty, cold-weather dishes. Hints of cinnamon and chocolate extend the finish.",87,20.0,Oregon,Paul Gregutt,@paulgwine ,Silvan Ridge 2013 Pinot Noir (Willamette Valley),Pinot Noir,Silvan Ridge
10148,Portugal,"A surprisingly fresh wine for an Alvarinho from the hot Alentejo. It shows crisp acidity, with lime and apricot flavors and a bright, crisp aftertaste.",87,14.0,Alentejano,Roger Voss,@vossroger,Terras de Alter 2014 Terra d'Alter Alvarinho (Alentejano),Alvarinho,Terras de Alter
10149,Portugal,"This is an attractive, perfumed wine that is a blend of Síria, Arinto and Viognier. It's the Viognier that gives the perfumed character that makes it so distinctive. It's fruity, lightly textured and ready to drink.",87,10.0,Alentejano,Roger Voss,@vossroger,Terras de Alter 2014 Terra d'Alter White (Alentejano),Portuguese White,Terras de Alter
